activation,family,gain,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step
2.relu,relu,1.0,1.1102778911590576,-0.653388261795044,-0.02145155519247055,0.5807105898857117,0.4688720703125,fp32,0.293701171875,0.5311279296875,0.0,0.0,10,0.5311279296875,0
2.tanh,tanh,1.0,1.0083461999893188,-0.6812320947647095,-0.014097914099693298,0.6109739542007446,0.9340729713439941,fp32,0.27880859375,0.5201416015625,0.0,,10,0.0,0
2.silu,silu,1.0,0.8903335332870483,-0.6010610461235046,-0.00838093739002943,0.6358532905578613,0.4991062879562378,fp32,0.2774658203125,0.5126953125,0.0,,10,0.0,0
3.relu,relu,1.0,1.1064260005950928,-0.6643290519714355,0.04563502222299576,0.7612558603286743,0.5555419921875,fp32,0.2412109375,0.4444580078125,0.0,0.0,10,0.4444580078125,0
3.tanh,tanh,1.0,1.1904752254486084,-0.7146353125572205,-0.0054697878658771515,0.6558527946472168,0.9212038516998291,fp32,0.24951171875,0.505859375,0.0,,10,0.0,0
3.silu,silu,1.0,1.0850533246994019,-0.6378524303436279,-0.005339483730494976,0.6726880073547363,0.5009633302688599,fp32,0.2957763671875,0.507568359375,0.0,,10,0.0,0
4.relu,relu,1.0,1.0480711460113525,-0.6923547983169556,-0.010589740239083767,0.7243888974189758,0.4844970703125,fp32,0.2652587890625,0.5155029296875,0.0,0.0,10,0.5155029296875,0
4.tanh,tanh,1.0,1.0377709865570068,-0.7755186557769775,-0.028353042900562286,0.676057755947113,0.9093705415725708,fp32,0.2281494140625,0.5299072265625,0.0,,10,0.0,0
4.silu,silu,1.0,1.3660670518875122,-0.7162353992462158,-0.025451811030507088,0.8219943642616272,0.4938841462135315,fp32,0.2362060546875,0.5338134765625,0.0,,10,0.0,0
2.relu,relu,1.0,1.0869872570037842,-0.6532807946205139,-0.001442996901459992,0.5713250041007996,0.498779296875,fp32,0.2974853515625,0.501220703125,0.0,0.0,10,0.501220703125,500
2.tanh,tanh,1.0,0.9859326481819153,-0.672271192073822,-0.013614358380436897,0.5987209677696228,0.9352374076843262,fp32,0.28271484375,0.5177001953125,0.0,,10,0.0,500
2.silu,silu,1.0,0.8787828683853149,-0.584886372089386,-0.006517722271382809,0.6311519742012024,0.49960482120513916,fp32,0.2861328125,0.51220703125,0.0,,10,0.0,500
3.relu,relu,1.0,1.1641201972961426,-0.6630721688270569,0.06045146286487579,0.7631801962852478,0.57470703125,fp32,0.2412109375,0.42529296875,0.0,0.0,10,0.42529296875,500
3.tanh,tanh,1.0,1.0947482585906982,-0.685356080532074,-0.006632908247411251,0.6516320109367371,0.922030508518219,fp32,0.2474365234375,0.5078125,0.0,,10,0.0,500
3.silu,silu,1.0,1.0993763208389282,-0.6369375586509705,-0.0055140042677521706,0.6754338145256042,0.5012063384056091,fp32,0.2978515625,0.509521484375,0.0,,10,0.0,500
4.relu,relu,1.0,1.0275793075561523,-0.6828646659851074,0.005482148379087448,0.7276950478553772,0.505615234375,fp32,0.2618408203125,0.494384765625,0.0,0.0,10,0.494384765625,500
4.tanh,tanh,1.0,0.9808461666107178,-0.7622430920600891,-0.030189629644155502,0.6487512588500977,0.911607027053833,fp32,0.222900390625,0.5352783203125,0.0,,10,0.0,500
4.silu,silu,1.0,1.2835965156555176,-0.7102974653244019,-0.021380487829446793,0.7860410809516907,0.4949102997779846,fp32,0.2379150390625,0.52685546875,0.0,,10,0.0,500
2.relu,relu,1.0,1.0817855596542358,-0.6469962000846863,-0.002827600110322237,0.5696282982826233,0.49658203125,fp32,0.2960205078125,0.50341796875,0.0,0.0,10,0.50341796875,1000
2.tanh,tanh,1.0,0.9956840872764587,-0.6684992909431458,-0.012681006453931332,0.5890594124794006,0.9361268281936646,fp32,0.2867431640625,0.5194091796875,0.0,,10,0.0,1000
2.silu,silu,1.0,0.882287323474884,-0.5761335492134094,-0.005872729234397411,0.6306615471839905,0.4999120533466339,fp32,0.2900390625,0.51025390625,0.0,,10,0.0,1000
3.relu,relu,1.0,1.1577982902526855,-0.6591067314147949,0.06768734753131866,0.7462188601493835,0.5806884765625,fp32,0.236083984375,0.4193115234375,0.0,0.0,10,0.4193115234375,1000
