array,elements,format,gain,margin,mode,mse_e3m4,mse_e4m3,mse_e5m2,seed,step
weight:1.weight,576,e3m4,1.0,0.7062397387990746,adaptive,3.0939923807767735e-06,1.053237210549916e-05,4.69746561903728e-05,10,100
weight:1.bias,32,e3m4,1.0,0.6329543394056819,adaptive,3.328982384451688e-06,9.069668277950541e-06,5.05210130487992e-05,10,100
weight:2.expand.weight,1536,e3m4,1.0,0.7538276619578366,adaptive,1.945987056050424e-06,7.904978567157789e-06,3.194344699497222e-05,10,100
weight:2.expand.bias,48,e3m4,1.0,0.6295443785390479,adaptive,1.694751773994413e-06,4.574776777069499e-06,3.112013282487929e-05,10,100
weight:2.project.weight,1536,e3m4,1.0,0.7435359851926593,adaptive,1.404619693027588e-06,5.476868534881035e-06,2.2312404581938385e-05,10,100
weight:2.project.bias,32,e3m4,1.0,0.8595757434538249,adaptive,1.3686453922942654e-06,9.746502676652735e-06,2.2323249794173616e-05,10,100
weight:3.expand.weight,1536,e3m4,1.0,0.7558386260634219,adaptive,1.86570971450345e-06,7.641297574726443e-06,2.9869204800732232e-05,10,100
weight:3.expand.bias,48,e3m4,1.0,0.5895287320712177,adaptive,2.340308868589743e-06,5.701516893980974e-06,4.99534789223405e-05,10,100
weight:3.project.weight,1536,e3m4,1.0,0.7600994462894078,adaptive,1.3193967485196982e-06,5.499765332394243e-06,1.9428107186685066e-05,10,100
weight:3.project.bias,32,e3m4,1.0,0.8236361810546055,adaptive,1.1711260286951645e-06,6.640398442822145e-06,1.4420927964095093e-05,10,100
weight:4.expand.weight,1536,e3m4,1.0,0.7594746039352943,adaptive,2.0945626514954876e-06,8.708280646306521e-06,3.27480274768976e-05,10,100
weight:4.expand.bias,48,e3m4,1.0,0.6817283782283285,adaptive,1.5690090307699596e-06,4.929779859215877e-06,4.212186140173006e-05,10,100
weight:4.project.weight,1536,e3m4,1.0,0.7288650757773386,adaptive,1.3608876911896825e-06,5.019226848371972e-06,2.0365915485952884e-05,10,100
weight:4.project.bias,32,e3m4,1.0,0.7383348807449563,adaptive,1.2509433066182967e-06,4.780703328665709e-06,1.9329142340384692e-05,10,100
weight:5.weight,32,e3m4,1.0,0.670844224993425,adaptive,1.859711588896325e-06,5.649943674417308e-06,3.2075514241729515e-05,10,100
weight:5.bias,1,e4m3,1.0,0.0,adaptive,5.1666341427392126e-08,5.1666341427392126e-08,1.3534656084779328e-05,10,100
gradient:1.weight,576,e3m4,1.0,0.7775750124694809,adaptive,1.0867683939428135e-10,4.885999572299391e-10,1.9378779484538966e-09,10,100
gradient:1.bias,32,e3m4,1.0,0.7364160338638177,adaptive,1.0153201584218416e-10,3.851979971715238e-10,1.6940167068325653e-09,10,100
gradient:2.expand.weight,1536,e3m4,1.0,0.7718455252626981,adaptive,5.170664392345889e-12,2.266299794601626e-11,8.920155659520186e-11,10,100
gradient:2.expand.bias,48,e3m4,1.0,0.8418064912293105,adaptive,8.99820229577277e-12,5.688098308013495e-11,1.7869712416647807e-10,10,100
gradient:2.project.weight,1536,e3m4,1.0,0.74375981774182,adaptive,3.7355683195651114e-12,1.4578386132278282e-11,5.635984951365135e-11,10,100
gradient:2.project.bias,32,e3m4,1.0,0.5127116981344625,adaptive,5.521123681372055e-11,1.1330302123475879e-10,5.24675332450111e-10,10,100
gradient:3.expand.weight,1536,e3m4,1.0,0.6492307621483736,adaptive,4.498985801702502e-12,1.2826055754654145e-11,6.19891520473442e-11,10,100
gradient:3.expand.bias,48,e3m4,1.0,0.9233046229993059,adaptive,6.622158650773778e-12,8.634364820599093e-11,1.3514041660785878e-10,10,100
gradient:3.project.weight,1536,e3m4,1.0,0.7565304498189471,adaptive,3.724497383719081e-12,1.5297590113217073e-11,5.293413343482649e-11,10,100
gradient:3.project.bias,32,e3m4,1.0,0.7743933703608968,adaptive,1.7955635553736108e-11,7.958824429255137e-11,2.0709251532280567e-10,10,100
gradient:4.expand.weight,1536,e3m4,1.0,0.7239696360173579,adaptive,2.7766954060714664e-12,1.0059383924321007e-11,3.3902842604912593e-11,10,100
