confirmation_step,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,ever_sustained,final_three_pass,first_crossing_step,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
3000,0.009954974986612797,4.5025013387203425e-05,0.003440172509692075,12.643386000068858,True,True,2000,1.0,0.01581866736523807,0.9999999999999974,0.0,0.0,0.0,fp32,0.0,10,0.0,20000,detail,0.9999999999999974,0.0,1.442732298073679e-07,12.309762563323602,1.8500080045669165e-07,0.9999999999999974,0.0
9500,0.009410789236426353,0.0005892107635736468,0.01736237980101344,54.951417334144935,True,True,8500,1.0,0.015712963650003076,0.9999138530391489,1.0402228795589306e-13,0.036149351292463106,0.0,fixed-e3m4,0.0,10,0.0,20000,detail,0.19499904442212757,3.267349411811165e-08,2.5937370082829148e-06,54.260597380343825,2.1957853277854156e-06,0.19468030775556164,3.112071499344893e-05
12000,0.011980632320046425,0.0019806323200464247,0.24081611996996796,55.43952575000003,True,True,11000,1.0,0.016395829850807786,0.9996696582115115,9.40782649034066e-13,0.0,0.0,fixed-e4m3,0.0,10,0.0,20000,detail,0.04158649267865548,9.66890836706371e-08,5.305243576003704e-06,54.72134761931375,5.792395677417517e-05,0.040344661271707535,0.00018872525834012777
10000,0.008399829268455505,0.0016001707315444948,0.09223944503171408,57.82814966700971,True,True,9000,1.0,0.020989456214010715,0.9986533375950758,8.538228320372517e-12,0.0,0.0,fixed-e5m2,0.0,10,0.0,20000,detail,-0.4217852287577271,5.590632445607846e-07,1.165618232334964e-05,57.06595360999927,6.586510153283598e-06,-0.4244497928623827,0.0006282624672167003
9500,0.009674791246652603,0.00032520875334739706,0.11544741602709971,55.336781040998176,True,True,8500,1.0,0.016322250943630934,0.9985403994876736,8.456338693203658e-12,0.0,0.0,fixed-hybrid,0.0,10,0.0,20000,detail,-0.07340967758456908,3.8068280482545044e-07,1.0716213182604406e-05,54.616068930132315,7.032690973574063e-06,-0.07686241163738382,0.000306682224618271
11000,0.009357539005577564,0.000642460994422436,0.014465752654943197,55.38266429095529,True,True,10000,1.0,0.015548837604001164,0.9999202276814465,1.2015921411400506e-13,0.03258393582252154,0.013704458950087428,calibrated,0.0,10,0.013704458950087428,20000,detail,0.15608346854566477,2.2796295440149307e-07,2.8203573947394034e-06,54.68951304652728,1.142288510891376e-06,0.1571671618620456,0.00016161357052624226
8500,0.010023374110460281,2.3374110460281164e-05,0.010378044969172483,62.79551375005394,True,True,7500,1.0,0.017523666378110647,0.9999135844617244,1.0843490303030432e-13,0.04763791225116371,0.013704458950087428,adaptive,1.066689598141238,10,1.0803940570913255,20000,detail,0.5580087703770176,2.8107702392314642e-08,1.8471014300303068e-06,62.033550885971636,4.589882337313611e-06,0.5575367112614112,3.663999086711556e-05
3000,0.010008471086621284,8.471086621284277e-06,0.0018218682085267533,13.39913387503475,True,True,2000,1.0,0.016661416739225388,0.9999999999999959,0.0,0.0,0.0,fp32,0.0,11,0.0,20000,detail,0.9999999999999959,0.0,8.605817924944859e-08,13.055647880071774,9.58524850602771e-08,0.9999999999999959,0.0
8000,0.010786041617393494,0.0007860416173934934,0.019565433525331657,56.8316253751982,True,True,7000,1.0,0.016420331317931414,0.999912610981912,1.804257448611145e-13,0.05219372090720016,0.0,fixed-e3m4,0.0,11,0.0,20000,detail,0.12424427258888693,2.4921452359568835e-08,1.8698435724218143e-06,56.10795322316699,1.7542707837492344e-06,0.12434344820175304,3.9838119846535847e-05
7000,0.010026401840150356,2.6401840150356085e-05,0.013718905128631532,55.033517125062644,True,True,6000,1.0,0.015870542265474796,0.9996851794738174,1.40130618245226e-12,0.00019807863721897593,0.0,fixed-e4m3,0.0,11,0.0,20000,detail,0.44200677561995355,5.0650512353094874e-08,3.76373691324261e-06,54.32816366292536,3.5888103866454912e-06,0.4404534152821776,0.00011573389929253608
