candidate_records,gain,mode,records,seed,substantial_strict_observations,substantial_switches,substantial_winner_e3m4,switches,switches_with_value_changes
,1.0,fixed-e3m4,6432,10,,,,,
,1.0,fixed-e4m3,6432,10,,,,,
,1.0,fixed-e5m2,6432,10,,,,,
,1.0,fixed-hybrid,6432,10,,,,,
,1.0,calibrated,6432,10,,,,,
6368,1.0,adaptive,6432,10,5970,0,5970,115,58
,1.0,fixed-e3m4,6432,11,,,,,
,1.0,fixed-e4m3,6432,11,,,,,
,1.0,fixed-e5m2,6432,11,,,,,
,1.0,fixed-hybrid,6432,11,,,,,
,1.0,calibrated,6432,11,,,,,
6368,1.0,adaptive,6432,11,5970,0,5970,99,50
,1.0,fixed-e3m4,6432,12,,,,,
,1.0,fixed-e4m3,6432,12,,,,,
,1.0,fixed-e5m2,6432,12,,,,,
,1.0,fixed-hybrid,6432,12,,,,,
,1.0,calibrated,6432,12,,,,,
6368,1.0,adaptive,6432,12,5970,0,5970,97,49
,1.0,fixed-e3m4,6432,13,,,,,
,1.0,fixed-e4m3,6432,13,,,,,
,1.0,fixed-e5m2,6432,13,,,,,
,1.0,fixed-hybrid,6432,13,,,,,
,1.0,calibrated,6432,13,,,,,
6368,1.0,adaptive,6432,13,5970,0,5970,100,50
,1.0,fixed-e3m4,6432,14,,,,,
,1.0,fixed-e4m3,6432,14,,,,,
,1.0,fixed-e5m2,6432,14,,,,,
,1.0,fixed-hybrid,6432,14,,,,,
,1.0,calibrated,6432,14,,,,,
6368,1.0,adaptive,6432,14,5970,0,5970,118,59
,4.0,fixed-e3m4,6432,10,,,,,
,4.0,fixed-e4m3,6432,10,,,,,
,4.0,fixed-e5m2,6432,10,,,,,
,4.0,fixed-hybrid,6432,10,,,,,
,4.0,calibrated,6432,10,,,,,
6368,4.0,adaptive,6432,10,5970,0,5970,104,53
,4.0,fixed-e3m4,6432,11,,,,,
,4.0,fixed-e4m3,6432,11,,,,,
,4.0,fixed-e5m2,6432,11,,,,,
,4.0,fixed-hybrid,6432,11,,,,,
,4.0,calibrated,6432,11,,,,,
6368,4.0,adaptive,6432,11,5970,0,5970,113,57
,4.0,fixed-e3m4,6432,12,,,,,
,4.0,fixed-e4m3,6432,12,,,,,
,4.0,fixed-e5m2,6432,12,,,,,
,4.0,fixed-hybrid,6432,12,,,,,
,4.0,calibrated,6432,12,,,,,
6368,4.0,adaptive,6432,12,5970,0,5970,108,54
,4.0,fixed-e3m4,6432,13,,,,,
,4.0,fixed-e4m3,6432,13,,,,,
,4.0,fixed-e5m2,6432,13,,,,,
,4.0,fixed-hybrid,6432,13,,,,,
,4.0,calibrated,6432,13,,,,,
6368,4.0,adaptive,6432,13,5970,0,5970,99,49
,4.0,fixed-e3m4,6432,14,,,,,
,4.0,fixed-e4m3,6432,14,,,,,
,4.0,fixed-e5m2,6432,14,,,,,
,4.0,fixed-hybrid,6432,14,,,,,
,4.0,calibrated,6432,14,,,,,
6368,4.0,adaptive,6432,14,5970,0,5970,103,51
