gain,mode,n,validation_mean,validation_sd,component_mean,component_sd,ever_sustained,final_three_pass
1.0,fp32,5,1.636048239106458e-07,4.051179485085066e-08,0.0029950420212747817,0.0007595155335150968,5,5
1.0,fixed-e3m4,5,1.8064556115859886e-06,2.3149574663179296e-07,0.01854627448517559,0.003642342845293106,5,5
1.0,fixed-e4m3,5,1.591911950526992e-05,2.367105599728733e-05,0.07301056433574547,0.09446225726864667,5,5
1.0,fixed-e5m2,5,1.2743676325044363e-05,3.5903854834697153e-06,0.13167554217851363,0.04346378886417559,5,3
1.0,fixed-hybrid,5,7.786556852806826e-06,1.2382277144209277e-06,0.06702770548681185,0.043340195666615976,5,5
1.0,calibrated,5,2.0712192963401323e-06,1.5960328414497091e-06,0.019716047691534525,0.014807141987219562,5,5
1.0,adaptive,5,2.4890131271604332e-06,1.3436280340896855e-06,0.02230701771397498,0.01997212662532515,5,5
4.0,fp32,5,4.4257291733629243e-07,1.0974463699872487e-07,0.007701231610998553,0.001744503800093144,5,5
4.0,fixed-e3m4,5,4.366775101516396e-06,1.8612554051063465e-06,0.045092129631735305,0.014801454156505927,5,5
4.0,fixed-e4m3,5,7.1209917223313825e-06,3.347322019915566e-06,0.06389842799907042,0.036325864655854745,5,5
4.0,fixed-e5m2,5,9.643366047384916e-06,4.076785544274722e-06,0.09530566498118527,0.02600048726710885,5,4
4.0,fixed-hybrid,5,7.961868732309085e-06,6.7710646503792875e-06,0.0547404954567632,0.025359794992869812,5,4
4.0,calibrated,5,3.391729114810005e-06,1.0077318616473305e-06,0.04524067694770082,0.015312653617745186,5,5
4.0,adaptive,5,4.09523081543739e-06,6.362122072229733e-07,0.04088620767455971,0.01367820498783457,5,5
