family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
relu,1.3158626556396484,-0.7168287038803101,0.016977082627515,0.8395898143450419,0.5320231119791666,fp32,0.217041015625,0.4679768880208333,0.0,0.0,0,0.4679768880208333,0,linear
tanh,1.1743967533111572,-0.6688245137532552,0.0251948069781065,0.7234530846277872,0.9221370220184326,fp32,0.2774251302083333,0.4638671875,0.0,,0,0.0,0,linear
silu,1.1842623949050903,-0.7849957545598348,-0.0053525834033886594,0.721030592918396,0.49823005000750226,fp32,0.2901204427083333,0.50439453125,0.0,,0,0.0,0,linear
relu,1.488672137260437,-0.7693203886349996,-0.0077936410283048945,0.8280001084009806,0.5006917317708334,fp32,0.19523111979166666,0.4993082682291667,0.0,0.0,0,0.4993082682291667,2000,linear
tanh,1.1353418827056885,-0.6469398140907288,0.026888747699558735,0.7419454058011373,0.9240481456120809,fp32,0.2822672526041667,0.4621988932291667,0.0,,0,0.0,2000,linear
silu,1.285556435585022,-0.8226590553919474,-0.008939606448014578,0.7052885095278422,0.4954034487406413,fp32,0.2860514322916667,0.5098876953125,0.0,,0,0.00020345052083333334,2000,linear
relu,1.3473578691482544,-0.7232650717099508,0.015812571781377,0.8296951850255331,0.5331624348958334,fixed-e4m3,0.21993001302083334,0.4668375651041667,0.00010172523373815541,0.010172526041666666,0,0.4668375651041667,0,linear
tanh,1.1732122898101807,-0.6626434326171875,0.02972505148500204,0.7325405279795328,0.9219166239102682,fixed-e4m3,0.27294921875,0.45947265625,0.00011406246145876746,,0,0.0,0,linear
silu,1.1990448236465454,-0.7831799387931824,-0.00511146957675616,0.7198605338732401,0.4987334410349528,fixed-e4m3,0.2893473307291667,0.5037841796875,4.5148538144227736e-05,,0,0.0,0,linear
relu,1.475408911705017,-0.763950785001119,-0.005043970110515754,0.8279078404108683,0.507080078125,fixed-e4m3,0.19673665364583334,0.492919921875,9.552483243169263e-05,0.011433919270833334,0,0.492919921875,2000,linear
tanh,1.1517589092254639,-0.6304665803909302,0.027884227223694324,0.7285557786623637,0.9258275032043457,fixed-e4m3,0.2857259114583333,0.4591471354166667,0.00011983520865517978,,0,0.0,2000,linear
silu,1.3010101318359375,-0.8317918181419373,-0.009730940063794455,0.7025500337282816,0.49545430143674213,fixed-e4m3,0.2857259114583333,0.5105794270833334,4.181313003452184e-05,,0,0.000244140625,2000,linear
relu,1.3747109174728394,-0.7198314865430196,0.011580834165215492,0.840085764726003,0.5276285807291666,fixed-e5m2,0.22314453125,0.4723714192708333,0.00034643528730763745,0.022786458333333332,0,0.4723714192708333,0,linear
tanh,1.170668601989746,-0.6644510626792908,0.02683051706602176,0.6960169076919556,0.9226452509562174,fixed-e5m2,0.2728271484375,0.466796875,0.00048138977338870365,,0,0.0,0,linear
silu,1.1171740293502808,-0.7870445251464844,-0.0043789887179931,0.7035841941833496,0.4981435537338257,fixed-e5m2,0.2858072916666667,0.5018717447916666,0.0001860021705700395,,0,0.0,0,linear
relu,1.4229007959365845,-0.7546471953392029,-0.007197053326914708,0.8180327614148458,0.5005696614583334,fixed-e5m2,0.1881103515625,0.4994303385416667,0.000288145636053135,0.01904296875,0,0.4994303385416667,2000,linear
tanh,1.1195881366729736,-0.6433382034301758,0.02393506948525707,0.7143774827321371,0.9249957799911499,fixed-e5m2,0.279541015625,0.4663492838541667,0.00037057075921135646,,0,0.0,2000,linear
silu,1.2066112756729126,-0.7956952055295309,-0.015017731115221977,0.6966688632965088,0.49445389707883197,fixed-e5m2,0.2900390625,0.5168863932291666,0.0001643491656674693,,0,0.0,2000,linear
relu,1.3473578691482544,-0.7232650717099508,0.015812571781377,0.8296951850255331,0.5331624348958334,fixed-hybrid,0.21993001302083334,0.4668375651041667,0.00010172523373815541,0.010172526041666666,0,0.4668375651041667,0,linear
tanh,1.1732122898101807,-0.6626434326171875,0.02972505148500204,0.7325405279795328,0.9219166239102682,fixed-hybrid,0.27294921875,0.45947265625,0.00011406246145876746,,0,0.0,0,linear
silu,1.1990448236465454,-0.7831799387931824,-0.00511146957675616,0.7198605338732401,0.4987334410349528,fixed-hybrid,0.2893473307291667,0.5037841796875,4.5148538144227736e-05,,0,0.0,0,linear
relu,1.4481666088104248,-0.7633168896039327,-0.007575036336978276,0.8279697299003601,0.5061848958333334,fixed-hybrid,0.19673665364583334,0.4938151041666667,9.335542563349009e-05,0.011962890625,0,0.4938151041666667,2000,linear
tanh,1.145634412765503,-0.6293718417485555,0.02827362281580766,0.7316708564758301,0.9255473613739014,fixed-hybrid,0.2832438151041667,0.4613037109375,0.0001307906277361326,,0,0.0,2000,linear
