array,changed,clipped,elements,format,mode,mse,scale,seed,step,target,zeroed
gradient:4.bias,True,0,1,e4m3,adaptive,7.472800503394161e-11,3.814697265625e-06,0,100,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,7.082274220207574e-14,1.9073486328125e-06,0,200,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.7935157456021077e-11,3.814697265625e-06,0,300,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.9140160376768245e-10,6.103515625e-05,0,400,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.1974682652252967e-11,9.5367431640625e-07,0,700,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.51286025407943e-13,1.52587890625e-05,0,1000,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.9253229627226466e-11,3.814697265625e-06,0,1100,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.1842111492799123e-11,1.52587890625e-05,0,1200,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.5959079565676382e-10,1.9073486328125e-06,0,1500,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.2223432037600582e-10,6.103515625e-05,0,1700,linear,0
weight:4.bias,True,0,1,e3m4,adaptive,1.046665433079852e-05,0.015625,0,100,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.299295421424578e-10,0.000244140625,0,400,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,4.6283858101411424e-11,9.5367431640625e-07,0,700,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.5020600227218326e-10,0.0001220703125,0,800,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,5.4320644391012834e-11,9.5367431640625e-07,0,1000,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,8.502128725227168e-09,0.00048828125,0,1200,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.960095042546385e-10,3.814697265625e-06,0,1800,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.4428060872992768e-08,0.00048828125,0,1900,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,7.468976838105688e-11,6.103515625e-05,0,200,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.8616269471653756e-10,3.814697265625e-06,0,300,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.43290561661361e-10,0.0001220703125,0,500,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.657793910828098e-10,1.52587890625e-05,0,600,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.260776024014867e-08,0.0009765625,0,1100,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,7.721350643065394e-09,1.52587890625e-05,0,1400,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.7603753356409957e-07,0.001953125,0,1700,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.7962871329268992e-09,1.52587890625e-05,0,1800,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.0305457317740944e-09,0.00048828125,0,1900,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.17298046398551e-07,0.00390625,0,200,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.8008851671600397e-07,0.0001220703125,0,400,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.3675636124921287e-07,0.001953125,0,600,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.355053267200438e-09,7.62939453125e-06,0,1000,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.6387473144907914e-08,0.0009765625,0,1300,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.5798547598497876e-09,0.0001220703125,0,1400,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,9.69924640638331e-08,0.001953125,0,1600,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,7.479693621276207e-07,0.0001220703125,0,1700,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.4890948746293375e-07,0.00390625,0,1800,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,8.519188826605628e-12,3.814697265625e-06,0,400,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.3269267752635816e-07,0.001953125,0,500,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,6.606478451104403e-09,3.0517578125e-05,0,600,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,9.56299987331724e-10,0.00048828125,0,700,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.5037072488566228e-07,6.103515625e-05,0,900,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.2694822205949752e-07,0.00390625,0,1000,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.484276954289877e-09,1.52587890625e-05,0,1100,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.242372144613993e-09,0.00048828125,0,1400,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.0012151298053347e-06,0.000244140625,0,100,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.046652598039714e-07,0.015625,0,200,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,6.902894461036091e-07,0.0001220703125,0,300,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.160688807375301e-11,0.0009765625,0,500,composition,0
weight:4.bias,True,0,1,e4m3,adaptive,1.466730785026904e-05,0.00048828125,0,700,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.4851298946183533e-07,0.0001220703125,0,800,composition,0
weight:4.bias,True,0,1,e3m4,adaptive,1.4876231928306893e-05,0.015625,0,900,composition,0
weight:4.bias,True,0,1,e4m3,adaptive,1.1191801496446274e-05,0.00048828125,0,1000,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.5926121360587686e-07,0.0078125,0,1000,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.250417734967925e-08,6.103515625e-05,0,1100,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.76118755135235e-06,0.0078125,0,1200,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.4096236378294035e-09,7.62939453125e-06,0,1400,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.456792581873035e-10,0.001953125,0,1800,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.6505169092828785e-09,0.00048828125,1,100,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,7.545976813376357e-10,3.814697265625e-06,1,200,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.911923772592345e-10,0.0001220703125,1,300,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.1709214097949945e-10,1.9073486328125e-06,1,400,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,3.0188207489345587e-10,0.0001220703125,1,500,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.9034330753545884e-10,1.9073486328125e-06,1,700,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.3551861510145008e-11,3.0517578125e-05,1,800,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,8.276699079248252e-10,3.814697265625e-06,1,900,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.1186618592443163e-10,6.103515625e-05,1,1000,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.2282804778157054e-13,9.5367431640625e-07,1,1300,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.739536229441456e-14,6.103515625e-05,1,1600,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.4797637023193514e-11,1.9073486328125e-06,1,1800,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,5.059905697560318e-10,1.52587890625e-05,1,100,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.504836720852721e-09,0.000244140625,1,200,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.1831858028055198e-09,3.0517578125e-05,1,500,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.915114623426202e-13,3.0517578125e-05,1,800,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.386767265691008e-08,1.52587890625e-05,1,900,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.797700132481598e-10,0.00048828125,1,1100,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,4.825537270117253e-10,7.62939453125e-06,1,1200,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,7.190248951793876e-10,0.000244140625,1,1400,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.3787728771197383e-11,3.814697265625e-06,1,1700,kink,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.174592809023242e-10,0.000244140625,1,1900,kink,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.0560012554065162e-09,7.62939453125e-06,1,200,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.2961538517833326e-09,0.0009765625,1,500,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.1144351545972278e-08,1.52587890625e-05,1,700,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.173982458293348e-12,0.0001220703125,1,800,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,5.470226897320851e-11,1.52587890625e-05,1,900,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,7.044033369292026e-10,0.0001220703125,1,1000,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,6.693018027011197e-11,1.9073486328125e-06,1,1100,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.8462259187266607e-11,6.103515625e-05,1,1300,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.514312237138523e-08,3.0517578125e-05,1,1400,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,3.129462201878486e-08,0.0009765625,1,1500,plateau,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.0643483165130585e-10,1.52587890625e-05,1,1700,plateau,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.8908591084901283e-07,0.001953125,1,100,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.0449941777234424e-08,6.103515625e-05,1,500,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.7640033946053624e-07,0.00390625,1,900,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.212599398892067e-06,0.000244140625,1,1000,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.567058147277649e-10,0.0009765625,1,1100,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,5.858946106399032e-08,3.0517578125e-05,1,1300,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,5.221859678550267e-07,0.00390625,1,1500,detail,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.709806047092699e-08,6.103515625e-05,1,1600,detail,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.786522593893451e-10,0.0009765625,1,200,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,6.466654789991436e-09,1.52587890625e-05,1,300,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.9346774288945406e-09,0.00048828125,1,400,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.9715306179626801e-07,6.103515625e-05,1,500,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.3787325523271525e-08,0.0009765625,1,700,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,2.4962761553150303e-08,3.0517578125e-05,1,1000,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,4.516015374156357e-10,0.0009765625,1,1100,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,4.257546998634454e-08,3.0517578125e-05,1,1300,bump,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.1164574740055166e-07,0.001953125,1,1400,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,9.505887978156213e-08,6.103515625e-05,1,1500,bump,0
weight:4.bias,True,0,1,e3m4,adaptive,3.276151577580322e-06,0.0078125,1,1600,bump,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.4337339643863984e-07,0.000244140625,1,300,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.4817724215687722e-07,0.001953125,1,400,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.0810067513356003e-07,0.0001220703125,1,500,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.478350836554455e-06,0.0078125,1,600,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,4.869546765817745e-09,0.000244140625,1,700,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.36848707658011e-08,0.0078125,1,800,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.6401335367968728e-09,1.52587890625e-05,1,900,composition,0
weight:4.bias,True,0,1,e3m4,adaptive,2.9311289475586477e-06,0.0078125,1,1000,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.1641190433842041e-07,0.00390625,1,1300,composition,0
gradient:4.bias,True,0,1,e4m3,adaptive,8.581989698885906e-07,0.0001220703125,1,1700,composition,0
gradient:4.bias,True,0,1,e3m4,adaptive,1.6782583623590336e-09,0.000244140625,1,1900,composition,0
weight:4.bias,True,0,1,e4m3,adaptive,5.684579487685859e-07,0.0001220703125,2,100,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.2387854976070884e-09,1.52587890625e-05,2,100,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,3.6803498271956864e-09,0.000244140625,2,400,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,1.8340409608228782e-11,3.814697265625e-06,2,500,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,2.6512712652474596e-13,7.62939453125e-06,2,600,linear,0
gradient:4.bias,True,0,1,e4m3,adaptive,3.4217164527131083e-09,1.52587890625e-05,2,800,linear,0
gradient:4.bias,True,0,1,e3m4,adaptive,6.364116319438479e-10,0.00048828125,2,900,linear,0
