arrays_that_changed,clipped_count,e3m4_element_fraction,e3m4_final_arrays,e3m4_initial_arrays,e4m3_element_fraction,e4m3_final_arrays,e4m3_initial_arrays,e5m2_element_fraction,e5m2_final_arrays,e5m2_initial_arrays,format_switches,kind,mean_squared_rounding_error,mode,quantized_elements,reselection_opportunities,scale_max,scale_min,seed,target,zeroed_fraction
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.85706587873587e-06,fixed-e4m3,19170000,0,0.001953125,0.00048828125,0,linear,2.556077203964528e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,2.8029653295667615e-11,fixed-e4m3,19170000,0,0.0001220703125,1.862645149230957e-09,0,linear,6.108502869066249e-05
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.1173253054738054e-05,fixed-e5m2,19170000,0,1.52587890625e-05,3.814697265625e-06,0,linear,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.1156564444665577e-10,fixed-e5m2,19170000,0,1.9073486328125e-06,1.4551915228366852e-11,0,linear,0.0
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,7.866953437745386e-06,fixed-hybrid,19170000,0,0.001953125,0.00048828125,0,linear,3.129890453834116e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.7383081983188352e-10,fixed-hybrid,19170000,0,9.5367431640625e-07,7.275957614183426e-12,0,linear,0.0
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.896077623192952e-06,calibrated,19170000,0,0.0625,0.00048828125,0,linear,0.000650339071465832
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.8757299933887664e-12,calibrated,19170000,0,0.001953125,1.4901161193847656e-08,0,linear,0.012160876369327073
0,0,0.9998956703182055,15,15,0.00010432968179447053,1,1,0.0,0,0,0,weight,1.8960773600922914e-06,adaptive,19170000,304,0.0625,0.00048828125,0,linear,0.000650339071465832
1,0,0.9999582681272822,16,16,4.173187271778821e-05,0,0,0.0,0,0,10,gradient,1.9221774583552786e-12,adaptive,19170000,304,0.001953125,3.725290298461914e-09,0,linear,0.012160876369327073
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.047183429086937e-06,fixed-e4m3,19170000,0,0.001953125,0.00048828125,0,kink,3.860198226395409e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,2.9092021141843642e-11,fixed-e4m3,19170000,0,0.000244140625,4.656612873077393e-10,0,kink,0.00015138236828377675
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.234145734359418e-05,fixed-e5m2,19170000,0,1.52587890625e-05,3.814697265625e-06,0,kink,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.640258910570329e-10,fixed-e5m2,19170000,0,1.9073486328125e-06,3.637978807091713e-12,0,kink,3.2342201356285863e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.047078321486821e-06,fixed-hybrid,19170000,0,0.001953125,0.00048828125,0,kink,5.3729786124152325e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,1.0530564036916437e-10,fixed-hybrid,19170000,0,1.9073486328125e-06,9.094947017729282e-13,0,kink,0.0
